protocol, hwsrc, hwdst, ipsrc, ipdst, whois
2048,84:10:0d:26:81:b4,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,
2048,38:60:77:2f:f8:ed,ff:ff:ff:ff:ff:ff,10.2.1.4,10.2.1.255,
2048,e0:69:95:eb:1a:61,ff:ff:ff:ff:ff:ff,10.2.1.17,10.2.1.255,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.85.101,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,190.221.162.55,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.189,
-1,00:9c:02:65:57:ec,01:80:c2:00:00:00,,,
2054,84:10:0d:26:81:b4,ff:ff:ff:ff:ff:ff,10.2.202.168,10.2.203.254,1
2048,f0:7b:cb:5c:b0:5c,ff:ff:ff:ff:ff:ff,10.2.201.93,10.2.203.255,
2048,70:56:81:bd:d4:01,ff:ff:ff:ff:ff:ff,10.2.200.205,10.2.203.255,
2048,78:31:c1:c8:3f:d8,ff:ff:ff:ff:ff:ff,10.2.201.86,10.2.203.255,
2048,e4:f8:9c:bf:46:fe,ff:ff:ff:ff:ff:ff,10.2.200.6,10.2.203.255,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
2048,ac:29:3a:e5:3c:84,ff:ff:ff:ff:ff:ff,10.2.203.20,10.2.203.255,
-1,f4:09:d8:f8:2f:91,ff:ff:ff:ff:ff:ff,,,
2048,70:56:81:bd:d4:01,ff:ff:ff:ff:ff:ff,10.2.200.205,10.2.203.255,
2048,70:56:81:bd:d4:01,ff:ff:ff:ff:ff:ff,10.2.200.205,10.2.203.255,
2048,70:56:81:bd:d4:01,ff:ff:ff:ff:ff:ff,10.2.200.205,10.2.203.255,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.99,
2048,f0:7b:cb:5c:b0:5c,ff:ff:ff:ff:ff:ff,10.2.201.93,10.2.203.255,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.253,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.253,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
-1,00:9c:02:65:57:ec,01:80:c2:00:00:00,,,
-1,80:6c:1b:9b:5a:ca,ff:ff:ff:ff:ff:ff,,,
2054,00:1b:21:7f:6c:fd,ff:ff:ff:ff:ff:ff,10.2.203.254,10.2.203.107,1
2054,00:1b:21:7f:6c:fd,ff:ff:ff:ff:ff:ff,10.2.203.254,10.2.203.107,1
2048,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.0.249,10.2.0.255,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
34525,3c:18:9f:6a:ca:3e,33:33:00:01:00:02,,,
2048,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.0.249,10.2.0.255,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.253,
34525,f8:cf:c5:d1:9f:5d,33:33:00:00:00:16,,,
34525,f8:cf:c5:d1:9f:5d,33:33:00:00:00:02,,,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
2048,40:88:05:ba:af:34,ff:ff:ff:ff:ff:ff,0.0.0.0,255.255.255.255,
2054,40:88:05:ba:af:34,ff:ff:ff:ff:ff:ff,10.2.201.199,10.2.203.254,1
34525,80:6c:1b:9b:5a:ca,33:33:00:00:00:02,,,
2048,78:e4:00:f4:69:ff,ff:ff:ff:ff:ff:ff,10.2.203.127,10.2.203.255,
34525,40:88:05:ba:af:34,33:33:00:00:00:16,,,
2054,e0:69:95:e4:c1:69,ff:ff:ff:ff:ff:ff,10.2.3.5,10.2.3.254,1
34525,84:10:0d:26:81:b4,33:33:00:00:00:16,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,209.225.49.115,
34525,40:88:05:ba:af:34,33:33:00:00:00:02,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.253,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
34525,80:6c:1b:9b:5a:ca,33:33:00:00:00:02,,,
2054,f8:cf:c5:d1:9f:5d,ff:ff:ff:ff:ff:ff,10.2.200.115,10.2.203.254,1
2048,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.0.249,10.2.0.255,
34525,f4:09:d8:f8:2f:91,33:33:00:00:00:16,,,
34525,40:88:05:ba:af:34,33:33:00:00:00:02,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.189,
34525,f8:cf:c5:d1:9f:5d,33:33:00:00:00:02,,,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
2054,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.7.249,10.2.7.13,1
2054,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.1.249,10.2.1.16,1
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.189,
2054,00:1b:21:7f:6c:fd,ff:ff:ff:ff:ff:ff,10.2.203.254,10.2.200.249,1
2054,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.7.249,10.2.7.15,1
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2054,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.7.249,10.2.7.4,1
34525,80:6c:1b:9b:5a:ca,33:33:00:00:00:02,,,
2054,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.2.249,10.2.2.2,1
2054,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.3.249,10.2.3.3,1
2054,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.1.249,10.2.1.8,1
2048,ac:29:3a:e5:3c:84,ff:ff:ff:ff:ff:ff,10.2.203.20,255.255.255.255,
34525,e0:69:95:eb:1a:61,33:33:00:00:00:fb,,,
2048,e0:69:95:eb:1a:61,01:00:5e:00:00:fb,10.2.1.17,224.0.0.251,
2054,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.2.249,10.2.2.14,1
2048,e0:98:61:b8:cb:bd,01:00:5e:7f:ff:fa,10.2.200.48,239.255.255.250,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2054,00:11:85:fe:47:cf,ff:ff:ff:ff:ff:ff,10.2.2.249,10.2.2.11,1
34525,40:88:05:ba:af:34,33:33:00:00:00:02,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,e0:98:61:b8:cb:bd,01:00:5e:7f:ff:fa,10.2.200.48,239.255.255.250,
